,latitude,longitude,plant_name,total_cap,plant_types_all,plant_caps_all,plant_type,renewable,state_long
845,42.200592,-72.594432,Riverside,6.9,hydro,6.9,hydro,TRUE,Massachusetts
846,41.2583,-70.0517,Nantucket,5.2,petroleum,5.2,petroleum,FALSE,Massachusetts
847,41.7103,-71.1931,Brayton Point,1518.5,"coal,petroleum","1083.5,435",coal,FALSE,Massachusetts
848,42.69118,-72.9561,Deerfield 5,13.9,hydro,13.9,hydro,TRUE,Massachusetts
849,42.5875,-72.5793,Cabot,61.8,hydro,61.8,hydro,TRUE,Massachusetts
850,42.117112,-72.864663,Cobble Mountain,32.6,hydro,32.6,hydro,TRUE,Massachusetts
851,42.4433,-73.2058,Doreen,16.6,petroleum,16.6,petroleum,FALSE,Massachusetts
852,42.5914,-72.7308,Gardners Falls,3.8,hydro,3.8,hydro,TRUE,Massachusetts
853,42.157896,-72.48643,Putts Bridge,3.6,hydro,3.6,hydro,TRUE,Massachusetts
854,42.176047,-72.409521,Redbridge,4,hydro,4,hydro,TRUE,Massachusetts
855,42.095,-72.595,NAEA Energy Massachusetts LLC,193.9,"natural_gas,petroleum","75.5,118.4",natural_gas,FALSE,Massachusetts
856,42.336215,-73.235486,Woodland Road,16.7,petroleum,16.7,petroleum,FALSE,Massachusetts
857,42.235,-70.9672,Potter Station 2,185.6,"natural_gas,petroleum","183.3,2.3",natural_gas,FALSE,Massachusetts
858,42.6986,-70.8697,High Street Station,12.3,"natural_gas,petroleum","8.6,3.7",natural_gas,FALSE,Massachusetts
859,42.542949,-70.928314,Waters River,46.6,natural_gas,46.6,natural_gas,FALSE,Massachusetts
860,41.8653,-71.1061,Cleary Flood,133.5,petroleum,133.5,petroleum,FALSE,Massachusetts
861,44.561961,-83.804505,Alcona,8,hydro,8,hydro,TRUE,Michigan
862,42.563803,-85.953976,Allegan Dam,2.5,hydro,2.5,hydro,TRUE,Michigan
863,43.258768,-86.242268,B C Cobb,494,"coal,natural_gas","307,187",coal,FALSE,Michigan
864,42.280222,-85.492548,B E Morrow,24,natural_gas,24,natural_gas,FALSE,Michigan
865,44.259135,-85.939565,C W Tippy,21,hydro,21,hydro,TRUE,Michigan
866,44.472624,-83.571947,Cooke,7.5,hydro,7.5,hydro,TRUE,Michigan
867,43.437322,-85.664462,Croton,8.4,hydro,8.4,hydro,TRUE,Michigan
868,43.644996,-83.840074,Dan E Karn,1714,"coal,natural_gas","5,101,204",coal,FALSE,Unknown
869,44.455518,-83.676274,Five Channels,6.4,hydro,6.4,hydro,TRUE,Michigan
870,44.435381,-83.440722,Foote,9.9,hydro,9.9,hydro,TRUE,Michigan
871,45.0306,-84.7039,Gaylord,33,natural_gas,33,natural_gas,FALSE,Michigan
872,43.486618,-85.629866,Hardy,33.1,hydro,33.1,hydro,TRUE,Michigan
873,44.36286,-85.819968,Hodenpyl,18.4,hydro,18.4,hydro,TRUE,Michigan
874,42.910296,-86.20074,J H Campbell,1429,"coal,petroleum","1416,13",coal,FALSE,Michigan
875,44.4631,-83.7208,Loud,4.4,hydro,4.4,hydro,TRUE,Michigan
876,43.8942,-86.4447,Ludington,1872,pumped_storage,1872,pumped_storage,FALSE,Michigan
877,44.661114,-84.131691,Mio,4.2,hydro,4.2,hydro,TRUE,Michigan
